msg_ratio,total_peers,received_messages,all_expected_messages,from_publisher,relayed,direct_publisher_percent,direct_publisher_percent2,number_propagating
1,550,549,549,10,539,1.8214935,0.018214935,180
1,550,549,549,11,538,2.003643,0.02003643,170
1,550,549,549,16,533,2.9143898,0.029143898,172
1,550,549,549,11,538,2.003643,0.02003643,173
1,550,549,549,10,539,1.8214935,0.018214935,182
1,575,574,574,10,564,1.7421603,0.017421603,195
1,575,574,574,13,561,2.2648084,0.022648084,179
1,575,574,574,11,563,1.9163764,0.019163764,197
1,575,574,574,12,562,2.0905924,0.020905924,184
1,575,574,574,13,561,2.2648084,0.022648084,168
1,575,574,574,7,567,1.2195121,0.012195121,196
1,575,574,574,11,563,1.9163764,0.019163764,187
1,575,574,574,10,564,1.7421603,0.017421603,187
1,600,599,599,10,589,1.6694492,0.016694492,181
1,600,599,599,10,589,1.6694492,0.016694492,171
1,600,599,599,13,586,2.1702838,0.021702838,185
1,600,599,599,9,590,1.5025042,0.015025042,202
1,600,599,599,8,591,1.3355592,0.013355592,218
1,600,599,599,10,589,1.6694492,0.016694492,197
1,600,599,599,11,588,1.836394,0.01836394,178
1,600,599,599,10,589,1.6694492,0.016694492,191
1,600,599,599,10,589,1.6694492,0.016694492,177
1,600,599,599,11,588,1.836394,0.01836394,190
1,600,599,599,10,589,1.6694492,0.016694492,196
1,600,599,599,10,589,1.6694492,0.016694492,206
1,600,599,599,6,593,1.0016694,0.010016694,219
1,600,599,599,10,589,1.6694492,0.016694492,202
1,600,599,599,12,587,2.0033388,0.020033388,195
1,600,599,599,10,589,1.6694492,0.016694492,192
1,625,624,624,10,614,1.6025642,0.016025642,204
1,625,624,624,10,614,1.6025642,0.016025642,208
1,625,624,624,10,614,1.6025642,0.016025642,184
1,625,624,624,11,613,1.7628206,0.017628206,211
1,625,624,624,13,611,2.0833335,0.020833335,227
1,625,624,624,14,610,2.2435899,0.022435899,210
1,625,624,624,10,614,1.6025642,0.016025642,203
1,625,624,624,10,614,1.6025642,0.016025642,204
1,650,649,649,10,639,1.540832,0.01540832,210
1,650,649,649,9,640,1.3867488,0.013867488,200
1,650,649,649,11,638,1.6949153,0.016949153,211
1,650,649,649,10,639,1.540832,0.01540832,213
1,650,649,649,12,637,1.8489984,0.018489984,194
1,650,649,649,9,640,1.3867488,0.013867488,211
1,650,649,649,10,639,1.540832,0.01540832,208
1,650,649,649,10,639,1.540832,0.01540832,217
1,675,674,674,13,661,1.9287834,0.019287834,214
1,675,674,674,14,660,2.0771513,0.020771513,214
1,675,674,674,12,662,1.7804155,0.017804155,183
1,675,674,674,10,664,1.4836795,0.014836795,210
1,675,674,674,10,664,1.4836795,0.014836795,203
1,675,674,674,10,664,1.4836795,0.014836795,222
1,675,674,674,12,662,1.7804155,0.017804155,226
1,675,674,674,12,662,1.7804155,0.017804155,218
1,700,699,699,11,688,1.5736766,0.015736766,213
1,700,699,699,5,694,0.7153076,0.007153076,234
1,700,699,699,11,688,1.5736766,0.015736766,238
1,700,699,699,10,689,1.4306152,0.014306152,219
1,700,699,699,5,694,0.7153076,0.007153076,274
1,700,699,699,10,689,1.4306152,0.014306152,223
1,700,699,699,10,689,1.4306152,0.014306152,235
1,700,699,699,8,691,1.1444921,0.011444921,222
1,700,699,699,14,685,2.0028613,0.020028613,246
1,700,699,699,11,688,1.5736766,0.015736766,225
1,700,699,699,10,689,1.4306152,0.014306152,221
1,700,699,699,11,688,1.5736766,0.015736766,221
1,700,699,699,8,691,1.1444921,0.011444921,231
1,700,699,699,9,690,1.2875537,0.012875537,222
1,700,699,699,10,689,1.4306152,0.014306152,227
1,725,724,724,7,717,0.9668509,0.009668509,220
1,725,724,724,8,716,1.1049724,0.011049724,211
1,725,724,724,5,719,0.6906077,0.006906077,226
1,725,724,724,4,720,0.5524862,0.005524862,218
1,725,724,724,4,720,0.5524862,0.005524862,232
1,725,724,724,6,718,0.8287293,0.008287293,230
1,725,724,724,9,715,1.2430938,0.012430938,219
1,725,724,724,11,713,1.519337,0.01519337,222
1,750,749,749,10,739,1.3351135,0.013351135,249
1,750,749,749,10,739,1.3351135,0.013351135,246
1,750,749,749,12,737,1.6021361,0.016021361,236
1,750,749,749,10,739,1.3351135,0.013351135,248
1,750,749,749,10,739,1.3351135,0.013351135,255
1,750,749,749,10,739,1.3351135,0.013351135,245
1,750,749,749,10,739,1.3351135,0.013351135,247
1,750,749,749,5,744,0.66755676,0.0066755676,255
1,775,774,774,5,769,0.64599484,0.0064599484,247
1,775,774,774,7,767,0.9043927,0.009043927,249
1,775,774,774,10,764,1.2919897,0.012919897,246
1,775,774,774,6,768,0.7751938,0.007751938,259
1,775,774,774,5,769,0.64599484,0.0064599484,258
1,775,774,774,5,769,0.64599484,0.0064599484,286
1,775,774,774,6,768,0.7751938,0.007751938,258
1,775,774,774,10,764,1.2919897,0.012919897,263
1,800,799,799,5,794,0.62578225,0.0062578225,300
1,800,799,799,9,790,1.126408,0.01126408,287
1,800,799,799,4,795,0.5006258,0.005006258,286
1,800,799,799,3,796,0.37546933,0.0037546933,264
1,800,799,799,3,796,0.37546933,0.0037546933,289
1,800,799,799,2,797,0.2503129,0.002503129,253
1,800,799,799,2,797,0.2503129,0.002503129,271
1,800,799,799,7,792,0.8760952,0.008760952,303
1,800,799,799,2,797,0.2503129,0.002503129,266
1,800,799,799,4,795,0.5006258,0.005006258,294
1,800,799,799,2,797,0.2503129,0.002503129,270
1,825,824,824,3,821,0.3640777,0.003640777,311
1,825,824,824,4,820,0.4854369,0.004854369,315
1,825,824,824,5,819,0.6067961,0.006067961,319
1,825,824,824,4,820,0.4854369,0.004854369,305
1,850,849,849,4,845,0.47114253,0.0047114253,319
